http://statistics.gov.scot/def/education/refEstablishment,Reference Establishment,Academic year 2015-16,Academic year 2016-17,Academic year 2017-18,Academic year 2018-19,Academic year 2019-20,Academic year 2020-21,Academic year 2021-22
http://statistics.gov.scot/id/education/establishment/1004743,Bertha Park High School,,,,,,,*
http://statistics.gov.scot/id/education/establishment/5349834,Breadalbane Academy,65,70,73,68,65,67,*
http://statistics.gov.scot/id/education/establishment/5110432,Farr High School,40,*,*,*,70,*,*
http://statistics.gov.scot/id/education/establishment/5948533,Langholm Academy,79,87,*,76,77,85,*
http://statistics.gov.scot/id/education/establishment/5135834,Mallaig High School,76,*,38,52,67,72,*
http://statistics.gov.scot/id/education/establishment/5948738,Moffat Academy,73,87,59,76,68,76,*
http://statistics.gov.scot/id/education/establishment/8110530,Tarbert Academy,53,*,*,71,*,*,*
http://statistics.gov.scot/id/education/establishment/8110131,Tiree High School,*,,0,,NA,*,*
http://statistics.gov.scot/id/education/establishment/6103030,Aith Junior High School,#,#,#,#,#,#,#
http://statistics.gov.scot/id/education/establishment/6103138,Baltasound Junior High School,#,#,#,,#,#,#
http://statistics.gov.scot/id/education/establishment/5918332,Dalry Secondary School,#,#,#,,#,#,#
http://statistics.gov.scot/id/education/establishment/6103731,Mid Yell Junior High School,#,#,#,,#,#,#
http://statistics.gov.scot/id/education/establishment/5351332,Pitlochry High School,#,#,#,,#,#,#
http://statistics.gov.scot/id/education/establishment/6003230,Sanday Community School,#,#,#,,#,#,#
http://statistics.gov.scot/id/education/establishment/6103839,Sandwick Junior High School,#,#,#,#,#,#,#
http://statistics.gov.scot/id/education/establishment/6003834,Stronsay Junior High School,#,#,#,,#,#,#
http://statistics.gov.scot/id/education/establishment/6003036,Westray Junior High School,#,#,#,,#,#,#
http://statistics.gov.scot/id/education/establishment/6104134,Whalsay School,#,#,#,,#,#,#
http://statistics.gov.scot/id/education/establishment/6203132,Castlebay School,*,55,*,*,*,*,100
http://statistics.gov.scot/id/education/establishment/5153239,Kinlochbervie High School,*,*,*,*,*,*,100
http://statistics.gov.scot/id/education/establishment-group/900,Grant Aided,90,,95,*,95,94,95
http://statistics.gov.scot/id/education/establishment/8325634,Bearsden Academy,82,89,91,98,94,94,95
http://statistics.gov.scot/id/education/establishment/8470332,Jordanhill School,90,*,95,*,95,94,95
http://statistics.gov.scot/id/education/establishment/8434638,Hyndland Secondary School,83,87,88,90,82,84,94
http://statistics.gov.scot/id/education/establishment/8602433,St Ninian's High School,93,93,90,92,92,92,94
http://statistics.gov.scot/id/education/establishment/8602034,Williamwood High School,92,91,89,91,90,95,93
http://statistics.gov.scot/id/education/establishment/5540739,Currie Community High School,65,77,70,80,89,88,92
http://statistics.gov.scot/id/education/establishment/8325731,Douglas Academy,83,88,91,87,87,88,92
http://statistics.gov.scot/id/education/establishment/8601836,Woodfarm High School,74,83,84,94,86,87,92
http://statistics.gov.scot/id/education/establishment/5235839,Cults Academy,87,87,89,83,90,91,91
http://statistics.gov.scot/id/education/establishment/8200831,Arran High School,90,100,82,*,80,83,90
http://statistics.gov.scot/id/education/establishment/5726034,Balfron High School,85,87,91,87,82,85,90
http://statistics.gov.scot/id/education/establishment/5746531,Braes High School,73,90,86,90,92,92,90
http://statistics.gov.scot/id/education/establishment/8601739,Eastwood High School,82,86,85,87,92,90,90
http://statistics.gov.scot/id/education/establishment/5252032,Mearns Academy,71,76,82,87,77,91,90
http://statistics.gov.scot/id/education/establishment/5534232,St Thomas Of Aquin's High School,82,87,77,85,80,87,88
http://statistics.gov.scot/id/education/establishment/8342032,Turnbull High School,91,89,77,79,82,86,88
http://statistics.gov.scot/id/education/establishment/8633436,Gryffe High School,86,88,89,87,93,95,87
http://statistics.gov.scot/id/education/establishment/8602239,Mearns Castle High School,92,93,89,91,86,84,87
http://statistics.gov.scot/id/education/establishment/5232937,Westhill Academy,84,82,89,89,85,86,87
http://statistics.gov.scot/id/education/establishment/5244439,Aberdeen Grammar School,80,78,77,68,78,84,86
http://statistics.gov.scot/id/education/establishment/8325936,Boclair Academy,75,84,90,93,95,90,86
http://statistics.gov.scot/id/education/establishment/5531438,Boroughmuir High School,81,93,93,91,92,88,86
http://statistics.gov.scot/id/education/establishment/5119936,Ullapool High School,*,76,74,79,*,*,86
http://statistics.gov.scot/id/education/establishment/5533139,James Gillespie's High School,76,79,72,82,83,87,85
http://statistics.gov.scot/id/education/establishment/1004522,Kilmarnock Academy,,,,69,73,76,85
http://statistics.gov.scot/id/education/establishment/5747031,Larbert High School,66,76,77,78,81,82,85
http://statistics.gov.scot/id/education/establishment/8520038,St Andrew's and St Bride's High School,79,78,76,70,86,90,85
http://statistics.gov.scot/id/education/establishment/5616530,Earlston High School,74,77,86,87,93,81,84
http://statistics.gov.scot/id/education/establishment/8432627,Glasgow Gaelic School,*,83,85,80,89,*,84
http://statistics.gov.scot/id/education/establishment/5142539,Glen Urquhart High School,84,72,56,*,*,*,84
http://statistics.gov.scot/id/education/establishment/8340030,Bishopbriggs Academy,80,82,85,83,80,85,83
http://statistics.gov.scot/id/education/establishment/5232333,Meldrum Academy,64,65,72,71,79,82,83
http://statistics.gov.scot/id/education/establishment/8627932,Park Mains High School,61,77,84,77,78,75,83
http://statistics.gov.scot/id/education/establishment/8630534,Renfrew High School,77,85,80,77,83,80,83
http://statistics.gov.scot/id/education/establishment/5350034,The Community School of Auchterarder,60,60,73,65,82,83,83
http://statistics.gov.scot/id/education/establishment/5533732,The Royal High School,73,86,86,83,86,88,83
http://statistics.gov.scot/id/education/establishment/5426138,Waid Academy,72,82,76,74,72,69,83
http://statistics.gov.scot/id/education/establishment/5541638,Balerno Community High School,72,68,73,70,81,82,82
http://statistics.gov.scot/id/education/establishment/8434239,Hillhead High School,75,63,69,76,73,77,82
http://statistics.gov.scot/id/education/establishment/5601932,Peebles High School,82,77,80,76,81,80,82
http://statistics.gov.scot/id/education/establishment/6103634,Anderson High School,76,82,77,78,83,83,81
http://statistics.gov.scot/id/education/establishment/5426537,Madras College,74,77,78,73,71,77,81
http://statistics.gov.scot/id/education/establishment/5722330,McLaren High School,77,78,79,82,83,78,81
http://statistics.gov.scot/id/education/establishment/8357439,Our Lady's High School - Cumbernauld,83,80,81,79,72,77,81
http://statistics.gov.scot/id/education/establishment/8533830,Strathaven Academy,77,77,75,80,81,78,81
